,code,name,nameshort
116,ARLP,Alliance Resource Partners LP,Alliance Resource Partners LP
117,AGBA,AGBA Group Holding Ltd,AGBA Group Holding
118,ASTR,Astra Space Inc,Astra Space
119,ACAC,Acri Capital Acquisition Corp,Acri Capital Acquisition
120,HOUS,Anywhere Real Estate Inc,Anywhere Real Estate
121,ALLE,Allegion PLC,Allegion
122,AGNC,AGNC Investment Corp,AGNC Investment
123,AZN,AstraZeneca PLC,AstraZeneca
124,ABEV,Ambev SA,Ambev
125,AERT,Aeries Technology Inc,Aeries Technology
126,AEAEU,AltEnergy Acquisition Corp,AltEnergy Acquisition
127,AMAL,Amalgamated Bank,Amalgamated Bank
128,ATLC,Atlanticus Holdings Corp,Atlanticus Holdings
129,ACLS,Axcelis Technologies Inc,Axcelis Technologies
130,ABTS,Abits Group Inc,Abits Group
131,ADP,Automatic Data Processing Inc,Automatic Data Processing
132,ASB,Associated Banc-Corp,Associated Banc-Corp
133,ADIL,Adial Pharmaceuticals Inc,Adial Pharmaceuticals
134,ARCO,Arcos Dorados Holdings Inc,Arcos Dorados Holdings
135,AVDL,Avadel Pharmaceuticals PLC,Avadel Pharmaceuticals
136,GOOG,Alphabet Inc,Alphabet
137,ARCH,Arch Resources Inc,Arch Resources
138,AMAT,Applied Materials Inc,Applied Materials
139,AFARU,Aura FAT Projects Acquisition Corp,Aura FAT Projects Acquisition
140,ACHV,Achieve Life Sciences Inc,Achieve Life Sciences
141,AQU,Aquaron Acquisition Corp,Aquaron Acquisition
142,ABOS,Acumen Pharmaceuticals Inc,Acumen Pharmaceuticals
143,AGRO,Adecoagro SA,Adecoagro
144,ASTH,Astrana Health Inc,Astrana Health
145,AOS,A O Smith Corp,A O Smith
146,AB,AllianceBernstein Holding LP,AllianceBernstein Holding LP
147,AUBN,Auburn National Bancorporation Inc,Auburn National Bancorporation
148,AAPL,Apple Inc,Apple
149,AIMBU,Aimfinity Investment Corp I,Aimfinity Investment I
150,ALL,Allstate Corp,Allstate
151,ACAB,Atlantic Coastal Acquisition Corp II,Atlanticastal Acquisition II
152,ACABU,Atlantic Coastal Acquisition Corp II,Atlanticastal Acquisition II
153,AMT,American Tower Corp,American Tower
154,ARKR,Ark Restaurants Corp,Ark Restaurants
155,APCA,AP Acquisition Corp,AP Acquisition
156,AMGN,Amgen Inc,Amgen
157,ABBV,AbbVie Inc,AbbVie
158,AXON,Axon Enterprise Inc,Axon Enterprise
159,ALTI,"AlTi Global, Inc","AlTi Global,"
160,AHR,American Healthcare REIT Inc,American Healthcare REIT
161,AXR,AMREP Corp,AMREP
162,AVY,Avery Dennison Corp,Avery Dennison
163,BUD,Anheuser-Busch Inbev SA,Anheuser-Busch Inbev
164,ALKS,Alkermes Plc,Alkermes Plc
165,ABG,Asbury Automotive Group Inc,Asbury Automotive Group
166,ADI,Analog Devices Inc,Analog Devices
167,T,AT&T Inc,AT&T
168,ADBE,Adobe Inc,Adobe
169,ATHM,Autohome Inc,Autohome
170,AZZ,AZZ Inc,AZZ
171,ASIX,AdvanSix Inc,AdvanSix
172,ATR,Aptargroup Inc,Aptargroup
173,ANRO,Alto Neuroscience Inc,Alto Neuroscience
174,ASC,Ardmore Shipping Corp,Ardmore Shipping
175,AS,Amer Sports Inc,Amer Sports
176,ALLY,Ally Financial Inc,Ally Financial
177,ALSN,Allison Transmission Holdings Inc,Allison Transmission Holdings
178,BANX,ArrowMark Financial Corp,ArrowMark Financial
179,ADNT,Adient PLC,Adient
180,ALOT,AstroNova Inc,AstroNova
181,ARI,Apollo Commercial Real Estate Finance Inc,Apollommercial Real Estate Finance
182,ALE,ALLETE Inc,ALLETE
183,ABNB,Airbnb Inc,Airbnb
184,AEP,American Electric Power Company Inc,American Electric Powermpany
185,AEHR,Aehr Test Systems,Aehr Test Systems
186,AVA,Avista Corp,Avista
187,ATNI,ATN International Inc,ATN International
188,MO,Altria Group Inc,Altria Group
189,AEI,Alset Inc,Alset
190,ASO,Academy Sports and Outdoors Inc,Academy Sports and Outdoors
191,ALCE,Alternus Clean Energy Inc,Alternus Clean Energy
192,AFJK,Aimei Health Technology Co Ltd,Aimei Health Technology
193,AITRU,AI Transportation Acquisition Corp,AI Transportation Acquisition
194,ADTX,Aditxt Inc,Aditxt
195,ATOM,Atomera Inc,Atomera
196,ALIM,Alimera Sciences Inc,Alimera Sciences
197,ABVX,Abivax SA,Abivax
198,WMS,Advanced Drainage Systems Inc,Advanced Drainage Systems
199,ALTM,Arcadium Lithium PLC,Arcadium Lithium
200,ADM,Archer-Daniels-Midland Co,Archer-Daniels-Midland
201,AQUNU,Aquaron Acquisition Corp,Aquaron Acquisition
202,APCA.U,AP Acquisition Corp,AP Acquisition
203,AAGR,African Agriculture Holdings Inc,African Agriculture Holdings
204,ACACU,Acri Capital Acquisition Corp,Acri Capital Acquisition
205,ANL,Adlai Nortye Ltd,Adlai Nortye
206,ADUS,Addus Homecare Corp,Addus Homecare
207,AFAR,Aura FAT Projects Acquisition Corp,Aura FAT Projects Acquisition
208,AWH,Aspira Women's Health Inc,Aspira Women's Health
209,ASCBU,A SPAC II Acquisition Corp,A SPAC II Acquisition
210,ASCB,A SPAC II Acquisition Corp,A SPAC II Acquisition
211,AQST,Aquestive Therapeutics Inc,Aquestive Therapeutics
212,ADSK,Autodesk Inc,Autodesk
213,AMR,Alpha Metallurgical Resources Inc,Alpha Metallurgical Resources
214,ATKR,Atkore Inc,Atkore
215,ACGLN,Arch Capital Group Ltd,Arch Capital Group
216,AEAE,AltEnergy Acquisition Corp,AltEnergy Acquisition
217,AAP,Advance Auto Parts Inc,Advance Auto Parts
218,ACGL,Arch Capital Group Ltd,Arch Capital Group
219,AMPH,Amphastar Pharmaceuticals Inc,Amphastar Pharmaceuticals
220,AIR,AAR Corp,AAR
221,APH,Amphenol Corp,Amphenol
222,ACNT,Ascent Industries Co,Ascent Industries
223,ATGL,Alpha Technology Group Ltd,Alpha Technology Group
224,APPF,Appfolio Inc,Appfolio
225,AGYS,Agilysys Inc,Agilysys
226,BIRD,Allbirds Inc,Allbirds
227,ADT,ADT Inc,ADT
228,BATRK,Atlanta Braves Holdings Inc,Atlanta Braves Holdings
229,ASYS,Amtech Systems Inc,Amtech Systems
230,ALTO,Alto Ingredients Inc,Alto Ingredients
231,GMFIU,Aetherium Acquisition Corp,Aetherium Acquisition
232,ALSAU,Alpha Star Acquisition Corp,Alpha Star Acquisition
233,AL,Air Lease Corp,Air Lease
234,AMPL,Amplitude Inc,Amplitude
235,ALXO,ALX Oncology Holdings Inc,ALX Oncology Holdings
236,AMD,Advanced Micro Devices Inc,Advanced Micro Devices
237,AEMD,Aethlon Medical Inc,Aethlon Medical
238,ACN,Accenture PLC,Accenture
239,AKTX,Akari Therapeutics PLC,Akari Therapeutics
240,ANSC,Agriculture & Natural Solutions Acquisition Corp,Agriculture & Natural Solutions Acquisition
241,AUTL,Autolus Therapeutics PLC,Autolus Therapeutics
242,ABEO,Abeona Therapeutics Inc,Abeona Therapeutics
243,AMPY,Amplify Energy Corp,Amplify Energy
244,AMN,AMN Healthcare Services Inc,AMN Healthcare Services
245,AXS,AXIS Capital Holdings Ltd,AXIS Capital Holdings
246,AZUL,Azul SA,Azul
247,AIRS,Airsculpt Technologies Inc,Airsculpt Technologies
248,ALHC,Alignment Healthcare Inc,Alignment Healthcare
249,AY,Atlantica Sustainable Infrastructure PLC,Atlantica Sustainable Infrastructure
250,AU,Anglogold Ashanti PLC,Anglogold Ashanti
251,ALGN,Align Technology Inc,Align Technology
252,AMG,Affiliated Managers Group Inc,Affiliated Managers Group
253,ALVO,Alvotech SA,Alvotech
254,AN,AutoNation Inc,AutoNation
255,ASGN,ASGN Inc,ASGN
256,AXSM,Axsome Therapeutics Inc,Axsome Therapeutics
257,AHG,Akso Health Group,Akso Health Group
258,AVNS,Avanos Medical Inc,Avanos Medical
259,ABVC,ABVC Biopharma Inc,ABVC Biopharma
260,AFCG,AFC Gamma Inc,AFC Gamma
261,ASLN,Aslan Pharmaceuticals Ltd,Aslan Pharmaceuticals
262,AMC,AMC Entertainment Holdings Inc,AMC Entertainment Holdings
263,RNA,Avidity Biosciences Inc,Avidity Biosciences
264,ATXG,Addentax Group Corp,Addentax Group
265,ACGLO,Arch Capital Group Ltd,Arch Capital Group
266,EXTO,Almacenes Exito SA,Almacenes Exito
267,ALKT,Alkami Technology Inc,Alkami Technology
268,AHCO,Adapthealth Corp,Adapthealth
269,ANVS,Annovis Bio Inc,Annovis Bio
270,AREB,American Rebel Holdings Inc,American Rebel Holdings
271,AAT,American Assets Trust Inc,American Assets Trust
272,ALK,Alaska Air Group Inc,Alaska Air Group
273,AMRK,A-Mark Precious Metals Inc,A-Mark Precious Metals
274,AOSL,Alpha and Omega Semiconductor Ltd,Alpha and Omega Semiconductor
275,AR,Antero Resources Corp,Antero Resources
276,ANSS,ANSYS Inc,ANSYS
277,ATSG,Air Transport Services Group Inc,Air Transport Services Group
278,ATUS,Altice USA Inc,Altice USA
279,ANGO,AngioDynamics Inc,AngioDynamics
280,AWI,Armstrong World Industries Inc,Armstrong World Industries
281,AMX,America Movil SAB de CV,America MovilB de CV
282,ACVA,ACV Auctions Inc,ACV Auctions
283,AQN,Algonquin Power & Utilities Corp,Algonquin Power & Utilities
284,ANIX,Anixa Biosciences Inc,Anixa Biosciences
285,ATOS,Atossa Therapeutics Inc,Atossa Therapeutics
286,AQNU,Algonquin Power & Utilities Corp,Algonquin Power & Utilities
287,AIRC,Apartment Income REIT Corp,Apartmentome REIT
288,AES,AES Corp,AES
289,ALPP,Alpine 4 Holdings Inc,Alpine 4 Holdings
290,ACMR,ACM Research Inc,ACM Research
291,AM,Antero Midstream Corp,Antero Midstream
292,ABCL,Abcellera Biologics Inc,Abcellera Biologics
293,AXL,American Axle & Manufacturing Holdings Inc,American Axle & Manufacturing Holdings
294,ACI,Albertsons Companies Inc,Albertsonsmpanies
295,AMCR,Amcor PLC,Amcor
296,ANGH,Anghami Inc,Anghami
297,ASTC,Astrotech Corp,Astrotech
298,AAN,Aaron's Company Inc,Aaron'smpany
299,ACCO,ACCO Brands Corp,ACCO Brands
300,ALRN,Aileron Therapeutics Inc,Aileron Therapeutics
301,ABSI,Absci Corp,Absci
302,AGNCM,AGNC Investment Corp,AGNC Investment
303,APLT,Applied Therapeutics Inc,Applied Therapeutics
304,FOLD,Amicus Therapeutics Inc,Amicus Therapeutics
305,ARCB,ArcBest Corp,ArcBest
306,ANTE,Airnet Technology Inc,Airnet Technology
307,AMRC,Ameresco Inc,Ameresco
308,TKNO,Alpha Teknova Inc,Alpha Teknova
309,ADMA,ADMA Biologics Inc,ADMA Biologics
310,ANAB,AnaptysBio Inc,AnaptysBio
311,ACHR,Archer Aviation Inc,Archer Aviation
312,APWC,Asia Pacific Wire & Cable Corporation Ltd,Asia Pacific Wire & Cableoration
313,AFRM,Affirm Holdings Inc,Affirm Holdings
314,AFMD,Affimed NV,Affimed
315,JEWL,Adamas One Corp,Adamas One
316,ATMV,AlphaVest Acquisition Corp,AlphaVest Acquisition
317,ANGI,Angi Inc,Angi
318,AIRT,Air T Inc,Air T
319,AMBA,Ambarella Inc,Ambarella
320,AEM,Agnico Eagle Mines Ltd (Ontario),Agnico Eagle Mines (Ontario)
321,AEHL,Antelope Enterprise Holdings Ltd,Antelope Enterprise Holdings
322,APRE,Aprea Therapeutics Inc,Aprea Therapeutics
323,AMCX,AMC Networks Inc,AMC Networks
324,NLY,Annaly Capital Management Inc,Annaly Capital Management
325,AZEK,Azek Company Inc,Azekmpany
326,APEI,American Public Education Inc,American Public Education
327,ADV,Advantage Solutions Inc,Advantage Solutions
328,AVPT,AvePoint Inc,AvePoint
329,AER,AerCap Holdings NV,AerCap Holdings
330,AA,Alcoa Corp,Alcoa
331,AOUT,American Outdoor Brands Inc,American Outdoor Brands
332,AVD,American Vanguard Corp,American Vanguard
333,ARKO,Arko Corp.,Arko.
334,ARMK,Aramark,Aramark
335,APA,APA Corp (US),APA (US)
336,POWW,Ammo Inc,Ammo
337,AXDX,Accelerate Diagnostics Inc,Accelerate Diagnostics
338,ALGT,Allegiant Travel Co,Allegiant Travel
339,AUGX,Augmedix Inc,Augmedix
340,AVRO,AVROBIO Inc,AVROBIO
341,AZ,A2Z Smart Technologies Corp,A2Z Smart Technologies
342,ALB,Albemarle Corp,Albemarle
343,BATRA,Atlanta Braves Holdings Inc,Atlanta Braves Holdings
344,ASUR,Asure Software Inc,Asure Software
345,ACEL,Accel Entertainment Inc,Accel Entertainment
346,AVIR,Atea Pharmaceuticals Inc,Atea Pharmaceuticals
347,ARAY,Accuray Inc,Accuray
348,ANIK,Anika Therapeutics Inc,Anika Therapeutics
349,AESI,Atlas Energy Solutions Inc,Atlas Energy Solutions
350,AVXL,Anavex Life Sciences Corp,Anavex Life Sciences
351,NYC,American Strategic Investment Co,American Strategic Investment
352,ARHS,Arhaus Inc,Arhaus
353,AORT,Artivion Inc,Artivion
354,AVAV,AeroVironment Inc,AeroVironment
355,ATI,ATI Inc,ATI
356,AMK,AssetMark Financial Holdings Inc,AssetMark Financial Holdings
357,ACCD,Accolade Inc,Accolade
358,AAOI,Applied Optoelectronics Inc,Applied Optoelectronics
359,AGR,Avangrid Inc,Avangrid
360,ARW,Arrow Electronics Inc,Arrow Electronics
361,APVO,Aptevo Therapeutics Inc,Aptevo Therapeutics
362,AVT,Avnet Inc,Avnet
363,AVBP,Arrivent Biopharma Inc,Arrivent Biopharma
364,ATRO,Astronics Corp,Astronics
365,ACHC,Acadia Healthcare Company Inc,Acadia Healthcarempany
366,ARTW,Art's Way Manufacturing Co Inc,Art's Way Manufacturing
367,AIRG,Airgain Inc,Airgain
368,ARES,Ares Management Corp,Ares Management
369,ATO,Atmos Energy Corp,Atmos Energy
370,AXTI,AXT Inc,AXT
371,ARLO,Arlo Technologies Inc,Arlo Technologies
372,AIV,Apartment Investment and Management Co,Apartment Investment and Management
373,ACNB,ACNB Corp,ACNB
374,ARBE,Arbe Robotics Ltd,Arbe Robotics
375,APCX,AppTech Payments Corp,AppTech Payments
376,ACIC,American Coastal Insurance Corp,Americanastal Insurance
377,AMLX,Amylyx Pharmaceuticals Inc,Amylyx Pharmaceuticals
378,AVDX,Avidxchange Holdings Inc,Avidxchange Holdings
379,ARGX,argenx SE,argenx
380,ATEX,Anterix Inc,Anterix
381,ALLR,Allarity Therapeutics Inc,Allarity Therapeutics
382,AMBP,Ardagh Metal Packaging SA,Ardagh Metal Packaging
383,AIMD,Ainos Inc,Ainos
384,AUR,Aurora Innovation Inc,Aurora Innovation
385,API,Agora Inc,Agora
386,AMPG,Amplitech Group Inc,Amplitech Group
387,AXGN,AxoGen Inc,AxoGen
388,CDMO,Avid Bioservices Inc,Avid Bioservices
389,ALUR,Allurion Technologies Inc,Allurion Technologies
390,AXNX,Axonics Inc,Axonics
391,AMTB,Amerant Bancorp Inc,Amerant Bancorp
392,ALLO,Allogene Therapeutics Inc,Allogene Therapeutics
393,AWIN,AERWINS Technologies Inc,AERWINS Technologies
394,AEVA,Aeva Technologies Inc,Aeva Technologies
395,ACET,Adicet Bio Inc,Adicet Bio
396,ASAN,Asana Inc,Asana
397,AQMS,Aqua Metals Inc,Aqua Metals
398,ADCT,ADC Therapeutics SA,ADC Therapeutics
399,ALT,Altimmune Inc,Altimmune
400,AKYA,Akoya Biosciences Inc,Akoya Biosciences
401,RERE,ATRenew Inc,ATRenew
402,ANEB,Anebulo Pharmaceuticals Inc,Anebulo Pharmaceuticals
403,LIDR,AEye Inc,AEye
404,APPN,Appian Corp,Appian
405,AGRI,AgriFORCE Growing Systems Ltd,AgriFORCE Growing Systems
406,ASNS,Actelis Networks Inc,Actelis Networks
407,AACI,Armada Acquisition Corp I,Armada Acquisition I
408,ALTR,Altair Engineering Inc,Altair Engineering
409,AFJKU,Aimei Health Technology Co Ltd,Aimei Health Technology
410,ARQT,Arcutis Biotherapeutics Inc,Arcutis Biotherapeutics
411,ASTI,Ascent Solar Technologies Inc,Ascent Solar Technologies
412,AMTX,Aemetis Inc,Aemetis
413,TCRT,Alaunos Therapeutics Inc,Alaunos Therapeutics
414,APLM,Apollomics Inc,Apollomics
415,ASTS,AST SpaceMobile Inc,AST SpaceMobile
416,A,Agilent Technologies Inc,Agilent Technologies
417,ATRA,Atara Biotherapeutics Inc,Atara Biotherapeutics
418,BABA,Alibaba Group Holding Ltd,Alibaba Group Holding
419,DRTS,Alpha Tau Medical Ltd,Alpha Tau Medical
420,AVAH,Aveanna Healthcare Holdings Inc,Aveanna Healthcare Holdings
421,ATAI,ATAI Life Sciences NV,ATAI Life Sciences
422,ACRE,Ares Commercial Real Estate Corp,Aresmmercial Real Estate
423,AVTE,Aerovate Therapeutics Inc,Aerovate Therapeutics
424,ATHA,Athira Pharma Inc,Athira Pharma
425,ABT,Abbott Laboratories,Abbott Laboratories
426,ASST,Asset Entities Inc,Asset Entities
427,AAL,American Airlines Group Inc,American Airlines Group
428,ABR,Arbor Realty Trust Inc,Arbor Realty Trust
429,ASTL,Algoma Steel Group Inc,Algoma Steel Group
430,AMSF,Amerisafe Inc,Amerisafe
431,AMZN,Amazon.com Inc,Amazon.com
432,ALG,Alamo Group Inc,Alamo Group
433,AGL,agilon health inc,agilon health inc
434,ADPT,Adaptive Biotechnologies Corp,Adaptive Biotechnologies
435,AGAE,Allied Gaming & Entertainment Inc,Allied Gaming & Entertainment
436,ARTL,Artelo Biosciences Inc,Artelo Biosciences
437,ANNX,Annexon Inc,Annexon
438,AEE,Ameren Corp,Ameren
439,AIG,American International Group Inc,American International Group
440,ALLK,Allakos Inc,Allakos
441,ADSE,Ads-Tec Energy PLC,Ads-Tec Energy
442,ARQQ,Arqit Quantum Inc,Arqit Quantum
443,ATLO,Ames National Corp,Ames National
444,AEIS,Advanced Energy Industries Inc,Advanced Energy Industries
445,APGE,Apogee Therapeutics Inc,Apogee Therapeutics
446,AMKR,Amkor Technology Inc,Amkor Technology
447,ALX,Alexander's Inc,Alexander's
448,AGCO,AGCO Corp,AGCO
449,AIZ,Assurant Inc,Assurant
450,ATS,ATS Corp,ATS
451,AMP,Ameriprise Financial Inc,Ameriprise Financial
452,AMST,Amesite Inc,Amesite
453,ATLX,Atlas Lithium Corp,Atlas Lithium
454,AZO,Autozone Inc,Autozone
455,AME,AMETEK Inc,AMETEK
456,ALRM,Alarm.com Holdings Inc,Alarm.com Holdings
457,AIN,Albany International Corp,Albany International
458,AREC,American Resources Corp,American Resources
459,AADI,Aadi Bioscience Inc,Aadi Bioscience
460,AVTR,Avantor Inc,Avantor
461,ATIF,ATIF Holdings Ltd,ATIF Holdings
462,ANDE,Andersons Inc,Andersons
463,ASPI,ASP Isotopes Inc,ASP Isotopes
464,AOMR,Angel Oak Mortgage REIT Inc,Angel Oak Mortgage REIT
465,AGO,Assured Guaranty Ltd,Assured Guaranty
